1,2,3,4,5
Accuracy,0.595,0.59,0.485,0.575
Balanced Accuracy,0.5529608456477186,0.5577607593571352,0.4692589796138496,0.5139143565958365
P-value,0.4635770538534806,1.0,0.0840446575789301,0.04137622765852124

2,1,3,4,5
Accuracy,0.595,0.665,0.53,0.68
Balanced Accuracy,0.5555178652193578,0.6346675712347354,0.5146992311171416,0.6151062867480778
P-value,0.4635770538534806,0.4635770538534806,0.013818978060033989,0.191344570660117

3,1,2,4,5
Accuracy,0.59,0.665,0.525,0.605
Balanced Accuracy,0.5577607593571352,0.628465106245281,0.5124042713838852,0.5462733254233632
P-value,1.0,0.4635770538534806,0.08404465757893015,0.041376227658521315

4,1,2,3,5
Accuracy,0.485,0.53,0.525,0.52
Balanced Accuracy,0.4712121212121212,0.5131313131313131,0.5116161616161616,0.49696969696969695
P-value,0.0840446575789301,0.013818978060033989,0.08404465757893015,0.00016209483554065497

5,1,2,3,4
Accuracy,0.575,0.68,0.605,0.52
Balanced Accuracy,0.5163622526636226,0.6291222729578894,0.55441400304414,0.4961948249619482
P-value,0.04137622765852124,0.191344570660117,0.041376227658521315,0.00016209483554065497

